ID,Type,UGS,Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position
21731,simple,17277,"Une vie à l'opéra: Souvenirs d'un critique",1,0,visible,,"<p>Gérard MANNONI,  2018<br />De courtes vignettes sur les chanteurs lyriques, les chorégraphes, les danseurs et quelques excursions en tant que critique à Pékin,  Le Caire ou Bayreuth.</p>",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21732,simple,17371,"Le parfum de Katsu,  Tome 1:  Destins volés",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Romans français",,,,,,,,,,,,0
21733,simple,17602,"La colline aux corbeaux",1,0,visible,,"<p>Héliane BERNARD, 2018<br />\nLa Colline aux corbeaux, premier volet des ""Dents noires"", est un roman librement inspiré de l'Histoire de l’imprimerie entre Lyon et Venise au début du XVIe siècle.</p>",,,taxable,,1,,,0,0,,,,,1,,,,"Romans français",,,,,,,,,,,,0
21734,simple,17633,"L'engrenage du mal",1,0,visible,,"<p>Nicolas FEUZ,  2020<br />\nFrontière franco-suisse. Quatre hommes se réveillent dans une grotte souterraine. Aucun d’eux ne sait pourquoi il est là. Mais le temps presse, l’eau monte, menaçante. Ils ont une heure, pas une minute de plus, pour découvrir les liens qui les unissent. Au même moment, le procureur Norbert Jemsen et sa fidèle greffière Flavie Keller reprennent du service.</p>",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21735,simple,17674,"Guide pratique des pierres de soins",1,0,visible,,"<p>Reynald Georges BOSCHIERO,  </p>",,,taxable,,1,,,0,0,,,,,1,,,,"Sciences - Médecine",,,,,,,,,,,,0
21736,simple,18309,"Un chirurgien irrésistible et Cache-cache amoureux",1,0,visible,,"<p>Mélanie MILBURNE et Abigail GORDON, </p>",,,taxable,,1,,,0,0,,,,,1,,,,"Romans français",,,,,,,,,,,,0
21737,simple,19002,"Histoire de France en BD: L'Algérie française, 1945-1962",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21738,simple,19143,"Un visage du paradis",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Romans étrangers",,,,,,,,,,,,0
21739,simple,19283,"Les chaînes musculaires, Tome 2",1,0,visible,,"<p>Léopold BUSQUET,  2002</p>",,,taxable,,1,,,0,0,,,,,1,,,,"Sciences - Médecine",,,,,,,,,,,,0
21740,simple,19491,"Pour une pratique innovante dans l'accompagnement de personnes SDF",1,0,visible,,"<p>Lucile JOUAUX, </p>",,,taxable,,1,,,0,0,,,,,1,,,,Divers,,,,,,,,,,,,0
21741,simple,19518,"Les enfants de La Vouivre",1,0,visible,,"<p>Michel DODANE,  </p>",,,taxable,,1,,,0,0,,,,,1,,,,"Romans français",,,,,,,,,,,,0
21742,simple,19778,"Vie et histoire du XIVe arrondissement de Paris",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Voyages,,,,,,,,,,,,0
21743,simple,20709,"Récits de notre quartier",1,0,visible,,"<p>Naguib MAHFOUZ, 1999,  Prix Nobel de Littérature 1988<br />\nL'auteur se remémore son enfance au Caire à travers une série de courts récits et portraits.</p>",,,taxable,,1,,,0,0,,,,,1,,,,"Romans étrangers",,,,,,,,,,,,0
21744,simple,20878,"150 Contes soufis",1,0,visible,,<p>ADONIS</p>,,,taxable,,1,,,0,0,,,,,1,,,,"Contes - Nouvelles",,,,,,,,,,,,0
21745,simple,21458,"Les pigments",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Arts - Culture",,,,,,,,,,,,0
21747,simple,21620,"La grande histoire des français sous l'Occupation, Tome 2",1,0,visible,,"<p>Henri AMOUROUX, 1977<br />Sous-titre: Quarante millions de pétainistes, juin 40 - juin 41<br /><br /></p>",,,taxable,,1,,,0,0,,,,,1,,,,"Non classé",,,,,,,,,,,,0
21748,simple,21648,"Animal livre",1,0,visible,,"<!-- wp:tadv/classic-paragraph -->\n<p><em>Plongez dans le monde fascinant des animaux avec notre livre ""À la Découverte du Royaume Animal"". Découvrez des créatures incroyables, des lions majestueux aux paresseux curieux, à travers des anecdotes passionnantes et des illustrations magnifiques. Une invitation à préserver la biodiversité pour tous les amoureux de la nature.Plongez dans le monde fascinant des animaux avec notre livre ""À la Découverte du Royaume Animal"". Découvrez des créatures incroyables, des lions majestueux aux paresseux curieux, à travers des anecdotes passionnantes et des illustrations magnifiques. Une invitation à préserver la biodiversité pour tous les amoureux de la nature.</em></p>\n<!-- /wp:tadv/classic-paragraph -->",,,taxable,,1,,,0,0,,,,,1,,,,"Non classé",,,,,,,,,,,,0
21749,simple,4553,"Je ne suis pas un assassin",1,0,visible,,"Dr.  Frédéric CHAUSSOY,   2004\nRécit du médecin qui, surmontant ses doutes, accepta de mettre fin aux souffrances d'un malade.  Préface de Bernard Kouchner.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21750,simple,4554,"Florent Schmitt",1,0,visible,,"Catherine LORENT, 2012\n\nBiographie du compositeur de l'Ecole française de la 3e République.",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21751,simple,4555,"Chère George Sand",1,0,visible,,"Jean CHALON, 1992",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21752,simple,4556,"Le Voyage inachevé",1,0,visible,,"Yehudi MENUHIN, 1977",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21753,simple,4557,"Jamais sans ma fille, Tome 2:  Pour l'amour d'un enfant",1,0,visible,,"Betty MAHMOODY,  1988",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21754,simple,4558,"De cœur inconnu",1,0,visible,,"Charlotte VALANDREY, 2011\n\nL'histoire d'une greffe du coeur.",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21755,simple,4559,"Michelle Obama, first lady",1,0,visible,,"<p>Liza MUNDY,  2009<br />De son enfance dans une ville déchirée par la ségrégation à son intégration dans deux  prestigieuses universités américaines, de sa rencontre avec ce jeune avocat stagiaire à leur irrésistible ascension jusqu'à la Maison-Blanche, le parcours exemplaire de la nouvelle First Lady, mère de famille et femme de tête, est un modèle pour les femmes, une source d'inspiration pour tous.  L'auteure est journaliste au Washington Post.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21756,simple,4560,"Moine des cités",1,0,visible,,"Henry QUINSON\n\nDe Wall Street aux quartiers Nord de Marseille.",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21757,simple,4561,Mémoires,1,0,visible,,"Leni RIEFENSTAHL,  1997\n\nLa photographe des Noubas du Soudan et la réalisatrice des films de propagande nazis.",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21758,simple,4562,"L'Aventure et l'espérance",1,0,visible,,"Hélie de SAINT-MARC, 2013",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21759,simple,4564,"En chemin avec l'aveugle-né",1,0,visible,,"Jeanne-Marie PAGNOUX, 2011\nSous-titre: Un regard qui délivre, une parole qui envole...\nUne recherche sur la cécité et le « voir » dans la Bible.  L'auteur a trouvé, dans cette recherche, des raisons de vivre au jour le jour, et une espérance fondée sur une promesse : tous, nous sommes appelés à voir.",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21760,simple,4565,"Amedeo Modigliani,  prince de Montparnasse",1,0,visible,,"<p>Herbert R. LOTTMAN, 2005<br />Première biographie jamais consacrée à Modigliani, elle retrace son enfance dans une famille juive aisée de Livourne, en Italie, son installation à Paris, "" capitale des arts "", et le milieu cosmopolite d'artistes et d'intellectuels - et de leurs muses - dans lequel il évolue : Utrillo, Picasso, Apollinaire, Survage, Vlaminck, Lipschitz... et Kiki de Montparnasse ! </p>",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21761,simple,4566,"Marius Berliet,  l'inflexible",1,0,visible,,"SAINT-LOUP,  1962\n\nLe fondateur de la marque des camions.",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21762,simple,4569,"Mémoires de Marchand,  premier valet de chambre et exécuteur testamentaire de l'Empereur Napoléon",1,0,visible,,"Louis-Joseph-Narcisse MARCHAND, 1994",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21763,simple,4570,"La Circassienne",1,0,visible,,"<p>Guillemette de SAIRIGNÉ,  2011<br />Leïla Hagondokoff naît en 1898  dans le Caucase.   A 19 ans, elle épouse un ancien page du Tsar dont elle a un fils. Pour fuir la Révolution, ils traversent la Russie et gagnent Shangai où elle subsiste. Divorcée, elle part pour la France. Très vite, elle devient mannequin, ouvre sa maison de couture et rencontre un milliardaire américain qui établit un trust en sa faveur. Elle épouse Ladislas du Luart et sa deuxième vie va commencer. Quand arrive la guerre d'Espagne, Leïla invente et fait financer des ambulances à l'intérieur desquelles, pour la première fois, on pratique la chirurgie lourde en zone de combat....</p>",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21764,simple,4571,"Je suis morte ce jour-là",1,0,visible,,"Sylvia PEROMINGO,  2013\n\n<em>""Jeudi 20 mai, 12 heures,  dans le Parc de Suresnes,  commence mon calvaire…""</em>",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21765,simple,4572,"Cela n'arrive jamais",1,0,visible,,"Anne HOLT,  2001\n\nUne enquête de Vik et Stubo.  Une présentatrice de talk show est retrouvée baignant dans son sang.",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21766,simple,4573,"L'Audace d'espérer",1,0,visible,,"Barack OBAMA, 2007\n\nPour une autre conception de la politique américaine.",,,taxable,,1,,,0,0,,,,,1,,,,"Essais - Chroniques",,,,,,,,,,,,0
21767,simple,4574,Shining,1,0,visible,,"Stephen KING, 2009\nOn propose à Jack Torrance, ancien professeur et ancien alcoolique, un poste de gardien pour l'hiver à l'hôtel Overlook dans les montagnes du Colorado.",,,taxable,,1,,,0,0,,,,,1,,,,"Romans étrangers",,,,,,,,,,,,0
21768,simple,4575,"Du Sahara aux Cévennes ou La Reconquête du songe",1,0,visible,,"<p>Pierre RABHI,  2002<br /> <em>Sous-titre:  Itinéraire d'un homme au service de la Terre-mère</em><br /> Travailleur algérien immigré confronté au racisme et à l'univers urbain, l'auteur  est parvenu en compagnie de sa femme à exploiter une petite ferme cévenole.   Fort de cette réussite, il chercha  à promouvoir une réconciliation entre les hommes et la Terre-Mère...</p>",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21769,simple,4577,"Carnets intimes de Nicolas Sarkozy",1,0,visible,,"Christine CLERC, 2009\nLa journaliste politique décrypte l'ancien,  et peut-être futur,  président de la République.",,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21770,simple,4578,"Louise Michel:  Quand l'aurore se lèvera",1,0,visible,,"C. RIBEYREIX, 2005",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21771,simple,4579,"Autres rivages",1,0,visible,,"Vladimir  NABOKOV,  1991",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21772,simple,4580,Mémoires,1,0,visible,,"Farah PAHLAVI, 2011",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21773,simple,4581,"Chirac s'emmerde",1,0,visible,,"Théodore MUSARD et Achille WOLFONI, 2009\n\nAnti-mémoires ou la vie quotidienne de Jacques Chirac sous le règne de Nicolas Sarkozy.",,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21774,simple,4582,"La Dormeuse de Chaix,  la voisine et autres récits",1,0,visible,,"CLOD'ARIA,  2004\n\nNouvelles par Clod'aria, pseudonyme de Suzanne Humbert-Droz (1916-2015),  institutrice qui publia en prose et en vers.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Contes - Nouvelles",,,,,,,,,,,,0
21775,simple,4583,"Aux frais de la princesse",1,0,visible,,"Frédéric DARD,  2013\nPour ceux qui aiment retrouver  le gros Berurier et le commissaire San Antonio.",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21776,simple,4584,"A Demain!",1,0,visible,,"Patrick POIVRE D'ARVOR, 2009\n\nEn chemin vers Saint Jacques de Compostelle et vers sa liberté.",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21777,simple,4585,"Imparfaits, libres et heureux: Pratique de l'estime de soi",1,0,visible,,"Christophe ANDRE, 2006\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Psychologie - Développement personnel",,,,,,,,,,,,0
21778,simple,4588,"Le pain de la terre",1,0,visible,,"Anne-Marie PRODON,  2000\n\nTrente-cinq villageois du Jura racontent leurs vies.",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21779,simple,4589,"Chaque jour est un adieu",1,0,visible,,"Alain REMOND,  2000",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21780,simple,4590,"Conversations avec moi-même",1,0,visible,,"Nelson MANDELA,  2010",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21781,simple,4591,"La Mauvaise vie",1,0,visible,,"Frédéric MITTERAND, 2005\n\nL'auteur,  ex-ministre de la Culture,  ose tout dire...",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21782,simple,4593,"Le Livre de l'intranquillité",1,0,visible,,"Fernando PESSOA, 1982\n\nRecueil posthume de pensées, aphorismes,  poèmes, etc...",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21783,simple,4594,"Un hiver à Majorque",1,0,visible,,"George SAND,  1838\n\nUn séjour difficile avec Chopin alors atteint de phtisie.",,,taxable,,1,,,0,0,,,,,1,,,,"Arts - Culture",,,,,,,,,,,,0
21784,simple,4595,"Louis, pas à pas",1,0,visible,,"Gersande et Francis PERRIN,  2012\n\nL'autisme n'est pas une fatalité.",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21785,simple,4596,"Du rififi à Barcelone",1,0,visible,,"LE BRETON David\nUne des aventures de l'agent Mike Coppolano.",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21786,simple,4597,"Mémoires d'une femme de ménage",1,0,visible,,"<p>ISAURE avec Bertrand PERRIER,  2013<br />""<em>Ce livre raconte comment je suis devenue votre ombre. Celle qui effleure la surface des objets et rend présentable l'inavouable. Celle qui ouvre les tiroirs, connaît l'envers de vos vies mais file, discrète, à la fin de la journée. Celle qui ne parle pas, prend son chèque et vous remercie.</em>""  Drôle et décapant et 100% authentique, dit la couverture.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21787,simple,4598,"Georges Pompidou:  Lettres, notes et portraits, 1928-1974",1,0,visible,,"<p> Ecrits recueillis par son fils, Alain Pompidou et publiés en 2012.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21788,simple,4599,"Avec De Gaulle et Pompidou,  Mémoires",1,0,visible,,"Robert POUJADE, 2011",,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21789,simple,4600,"N'oublie pas de vivre",1,0,visible,,"Jacques CHANCEL,  2011\nLe journal des années 2007-2010 dans lequel l'auteur revient sur les grands et les petits événements qui agitent notre monde.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21790,simple,4601,"Pierre Brossolette",1,0,visible,,"<p>Eric ROUSSEL, 2011 <br />Les pérégrinations de ce combattant de l’ombre, du réseau du musée de l’Homme jusqu’à Londres où il va s’acharner à réunir autour du général de Gaulle toutes les familles spirituelles et politiques.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21791,simple,4602,"Le Café du Pont,  parfums d'enfance",1,0,visible,,"Pierre PERRET, 2007\nPierre Perret raconte, avec sa plume inimitable, ses plus beaux souvenirs d'enfance et d'adolescence.",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21792,simple,4603,"Boni de Castellane",1,0,visible,,"<p>Eric MENSION-RIGAU, 2008 <br />Descendant d'une des plus anciennes familles de France, arrière-petit-neveu de Talleyrand,  il épouse en 1895 Anna Gould dont la fortune lui permet de réaliser ses rêves:  Palais rose, fêtes fastueuses, collection d'art.  Son divorce le laisse sans le sou,  il devient journaliste puis antiquaire....<br /><br /><br /><br /><br /></p>",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21793,simple,4604,"Wonderland avenue",1,0,visible,,"Michael CONNELLY, 2004",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21794,simple,4620,"Et la lumière fut",1,0,visible,,"Jacques LUSSEYRAN, 1953\nCette autobiographie d'un résistant,  déporté, aveugle,   est un exceptionnel exemple d'amour de la vie, de courage et de liberté face à l'adversité.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21795,simple,4624,"La Promesse de l'aube",1,0,visible,,"Romain GARY, 1960\nLa jeunesse du romancier aux côtés d'une mère typiquement russe.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Romans français",,,,,,,,,,,,0
21796,simple,4637,"La Vie vénitienne",1,0,visible,,"Henri de Régnier,  1906\nPréfacé par Dominique Fernandez.  Un beau livre sur la Sérénissime,  dont chaque scène fut vécue par l'auteur.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Voyages,,,,,,,,,,,,0
21797,simple,4643,"André Malraux,  Charles de Gaulle: Une histoire,<br/> deux légendes",1,0,visible,,"Alexandre DUVAL-STALLA\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Histoire-Politique,,,,,,,,,,,,0
21798,simple,4645,"Sukkwan Island",1,0,visible,,"David VANN,  2010\nRoy, 13 ans, accepte d'aller passer une année seul avec son père sur une île sauvage d'Alaska. Ce séjour ne tarde pas à virer au cauchemar.\nPrix Médicis Etranger 2010.",,,taxable,,1,,,0,0,,,,,1,,,,"Policiers - Thrillers",,,,,,,,,,,,0
21799,simple,4649,"La Confusion des sentiments",1,0,visible,,"Stefan ZWEIG,  1927",,,taxable,,1,,,0,0,,,,,1,,,,"Contes - Nouvelles",,,,,,,,,,,,0
21800,simple,4653,"Vincent van Gogh revisité",1,0,visible,,"Alain AMIEL,  2010\nExaltée, enfiévrée, éprouvante, douloureuse, la vie de Vincent van Gogh s'exprime et se déploie dans ses œuvres mais aussi dans l'impressionnante correspondance qu'il a entretenue avec son frère, sa famille, ses amis.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Biographies,,,,,,,,,,,,0
21801,simple,4655,"Pour l'Amour d'un Stradivarius",1,0,visible,,"<p>Pierre AMOYAL,  2004<br />Une  aventure aux héros peu banals : Pierre Amoyal, l’un des plus talentueux violonistes du monde, et le Kochanski, un Stradivarius, dérobé puis retrouvé quatre années plus tard après de rocambolesques péripéties...</p>",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
21802,simple,4657,"Je suis tzigane et je le reste",1,0,visible,,"ANINA,  2013\nDes camps de réfugiés roms jusqu'à la Sorbonne\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Témoignages,,,,,,,,,,,,0
